character,cimage,simage,?,?,sitem,3p+,cdesc,sdesc,artist
Johnny,,,,,Football,TRUE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
""They betrayed me, they didn't keep
their promise, they tricked me,
and I don't care anymore.""
------------------------------
Starting item:

Football","At the end of your turn,
each other player loots 2.
------------------------------
↷: Give this to another
player and roll-

1-4: Each player loots 1.
------------------------------
5-6: You discard 2 loot cards,
then each player who controls a
character named Johnny loots 2.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @TikaratheMew

These cards are a reference to the film, The Room.

Unlocked via The Credits social goals to-do list during the Requiem Kickstarter."
Edmund,,,,,The Real Left Hand,FALSE,"HP: 2 | AT: 1

↷: Play 1 additional
loot card this turn.
""That needs a nerf...""
- Me!
------------------------------
Starting item:

The Real Left Hand","↷: Change a number in
the effect text of a
card in play or loot being
played by 1 till end of
turn. The number can't go
below 1 or above 6.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @TikaratheMew

Unlocked via The End social goals to-do list during the Requiem Kickstarter."
Quote,,,,,"Polar Star
/
Booster v2.0",FALSE,"HP: 2 | AT: 1

↷: Flip an eternal item
you control if able,
then recharge it.
""You're a soldier from the
surface, are you not?
------------------------------
Starting item:

Polar Star","↷: Choose one-

•Put a counter on this.
------------------------------
•Remove any number of counters
from ths. Gain +1 AT for your next
attack roll this turn for each
counter removed in this way.
------------------------------
-Eternal-

Polar Star
---------------------------------------------------------------------------------
Booster v2.0

↷: Choose one-

•Put a counter on this.
------------------------------
•Remove any number of
counters from this. Add 1
to a roll for each counter
removed in this way.
------------------------------
-Eternal-","Character art by @TikaratheMew
Starting item art by @Yazawa_Akio

These cards are a reference to the video game, Cave Story.

Unlocked via the Home social goals to-do list during the Requiem Kickstarter."
Guy Spelunky,,,,,Spelunking Pack,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Spelunking Pack","This starts with 3 counters.
------------------------------
Each time you kill a monster
put 2 counter on this.
------------------------------
$: Remove a counter from this:

Choose one-

•Add 1 to your roll.  •Gain 3¢
------------------------------
•Put a shop item into discard.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @HamBerry_art

These cards are a reference to the video game, Spelunky.

Unlocked via The Mines social goals to-do list during the Requiem Kickstarter."
Steven (character),,,,,Lil Steven,FALSE,"HP: 2 | AT: 1

↷: You may play up to x
additional loot cards
this turn, where x is the
number of souls you control.
""Get in the box!""
------------------------------
Starting item:

Lil Steven","Each time a monster or player
dies, put a counter on this.
------------------------------
$: Remove 10 counters
from this: The active
player takes an extra
turn after this one.
------------------------------
-Eternal-","Character and starting item art by @TikaratheMew

These cards are a reference to the video game, Time Fcuk.

Unlocked via The White Light social goals to-do list during the Requiem Kickstarter."
,Alt Art,,,,,,,,
Isaac (Alt Art),,,N/A,,,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

The D6",N/A,"Art by @TomFulp

Unlocked via 41,000 bakcers for the Requiem Kickstarter."
Judas (Alt Art),,,,,,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Book of Belial",,"Art by @Vlurr143

Unlocked via 2,000 backers for the Requiem Kickstarter."
Blue Baby (Alt Art),,,,,,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Forever Alone",,"Art by @FlorkOfCows

Unlocked via 6,000 backers for the Requiem Kickstarter."
Azazel (Alt Art),,,,,,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Lord of the Pit",,"Art by @dolldrums

Unlocked on the third roll against The Beast during the Requiem Kickstarter."
Eden (Alt Art 1),,,,,,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
When you start the game, look at
the top 3 cards of the treasure
deck and choose one. It becomes
your starting item and gains
eternal. Put the rest on the
bottom of the treasure deck.",,"Art by Tonetta 777

Unlocked via 23,000 backers for the Requiem Kickstarter."
Eden (Alt Art 2),,,,,,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
When you start the game, look at
the top 3 cards of the treasure
deck and choose one. It becomes
your starting item and gains
eternal. Put the rest on the
bottom of the treasure deck.",,"Art by @Sony_Shock

Unlocked via 31,000 backers for the Requiem Kickstarter."
The Lost (Alt Art),,,,,,FALSE,"HP: 1 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
At the end of your turn,
recharge up to 1 character.
------------------------------
Starting item:

Holy Mantle

(+1 soul)",,"Art by @mushbuh

Unlocked via 17,000 backers for the Requiem Kickstarter."
Lilith (Alt Art),,,,,,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Incubus",,"Art by Sandra ArteagA

Unlocked via 21,000 backers for the Requiem Kickstarter."
The Keeper (Alt Art),,,,,,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Wooden Nickel",,"Art by @sp00ky_d00dles

Unlocked via 9,000 backers for the Requiem Kickstarter."
The Forgotten (Alt Art),,,,,,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

The Bone",,"Art by @MaxGrecke

Unlocked via 45,000 backers for the Requiem Kickstarter."
The Savage (Alt Art),,,,,,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Berzerk",,"Art by @JohnnyUtahNG

Unlocked via 3,000 backers for the Requiem Kickstarter."
The Capricious (Alt Art),,,,,,FALSE,"HP: 2 | AT: 1

↷: Choose one-

•Play an additional
loot card this turn.
------------------------------
•Put a shop item into discard.
------------------------------
Starting item:

Glitch",,"Art by @bispau

Unlocked on the eighth roll against The Beast during the Requiem Kickstarter."
The Harlot (Alt Art),,,,,,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Gello",,"Art by @thetruehyperion

Unlocked via 11,000 backers for the Requiem Kickstarter."
Guppy (Alt Art),,,,,,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Infestation",,"Art by Amy Weber.

Unlocked via 38,000 backers for the Requiem Kickstarter."
The Broken (Alt Art) (UNRELEASED),,,,,,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Spindown Dice",,"Art by @CPU_CWCSonichu


As a result of a contorversy surrounding the artist, this card is planned to be released at an as-of-yet undetermined date."
,The Legend of Bum-bo,,,,,,,,
Bum-bo (The Legend of Bum-bo),,,,,Bag-o-Trash (The Legend of Bum-bo),FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
""Bum-bo want coin!""
------------------------------
Starting item:

Bag-o-Trash","$: Pay 3¢:

Play an additional
loot card this turn.
------------------------------
$: Pay 4¢: Loot 1.
------------------------------
$: Pay 6¢: Deal 1 damage
to a monster or player.
------------------------------
-Eternal-","Art by @TikaratheMew

These cards are included as pre-order bonuses in physical editions of The Legend of Bum-bo from Nicalis."
