title,card_type,description,artist
Chunk of Amber,Cards / Miscellaneous (23),"Roll-

Gain x¢, where
x is 2 times
the result.","Art by @HamBerry_art

This card is a reference to the video game, Gish.

Unlocked via the Downpour social goals to-do list during the Requiem Kickstarter."
Jester,Cards / Miscellaneous (23),"Reroll any
number of items
you control.","Art by @HamBerry_art

This card is a reference to the video game, Dicey Dungeons.

Unlocked via The Planetarium social goals to-do list during the Requiem Kickstarter."
Witch,Cards / Miscellaneous (23),"Choose one-

•Deal 1 damage to a
monster or player.
------------------------------
•Add or subtract 1
from a roll.
------------------------------
•Cancel the ↷ or $
ability of an item or
a loot being played.","Art by @HamBerry_art

This card is a reference to the video game, Dicey Dungeons.

Unlocked via The Planetarium social goals to-do list during the Requiem Kickstarter."
Bible Thump!,Cards / Miscellaneous (23),"Loot 2, then loot 2
for each player
that died this turn.","Art by @TikaratheMew

Unlocked via The Closet social goals to-do list during the Requiem Kickstarter."
Greed Butt!,Cards / Miscellaneous (23),"HP: 8 | DC: 2+ | AT: 1
------------------------------
When this is put in a monster
slot, expand monster slots by 1.
------------------------------
-Ambush-
(This becomes a monster in a monster slot
not being attacked. The active player must
make an additional attack on it this turn.)
------------------------------
Rewards: 13¢","Art by @rojen241

Unlocked via The Closet social goals to-do list during the Requiem Kickstarter."
Cow on a Trash Farm,Cards / Miscellaneous (23),"Choose a player. Until
the start of their next
turn, their character is
named Cow and loses all
abilities and each item
they control is named
Trash and loses all
abilities, except eternal.","Art by @TikaratheMew

Unlocked via The Closet social goals to-do list during the Requiem Kickstarter."
Blanks,Cards / Miscellaneous (23),"Choose a player. Prevent
the next instance of
damage they would take
this turn. When that
damage is prevented,
deal that much damage
to a monster or
another player.","Art by@HamBerry_art

This card is a reference to the video game, Enter the Gungeon.

Unlocked via the Lake of Fire social goals to-do list during the Requiem Kickstarter."
Cheep Cheep Cheep!,Cards / Miscellaneous (23),"Choose a player. Till the
start of their next turn,
their character is named
Chicken and must be
attacked once by other
active players on their turns
if able. The chosen player
has 3+ DC for the attacks.","Art by @TikaratheMew

This card is a reference to the film, The Room.

Unlocked via The Credits social goals to-do list during the Requiem Kickstarter."
Murder!,Cards / Miscellaneous (23),"Players can be attacked
till end of turn. They
have 4+ DC for the attack.
------------------------------
At the end of the turn this
was played, if a non-active
player died, return this to
the hand of the player
who played it.","Art by@TikaratheMew

This card is a reference to the video game, Among Us.

Unlocked via the Static social goals to-do list during the Requiem Kickstarter."
,Alt Art,,
Lost Soul (Alt Art),Lost Soul (1),"As this enters play, this becomes
a soul. Give it to another player.
------------------------------
Other players may attack you.
You have 4+ DC for the attack.
------------------------------
When a player kills you, give
this soul to that player.
------------------------------
-Trinket-","Art by @gobo3D

Unlocked via 37,000 backers for the Requiem Kickstarter."
XIII. Death (Alt Art),Cards / Miscellaneous (23),Kill all players.,"Art by @WinslowDumaine

Unlocked via $6,660,000 total backed on the Requiem Kickstarter."
XVII. The Stars (Alt Art),Cards / Miscellaneous (23),"Each player gains
+1 treasure, then
you gain +1 treasure.","Art by @RainyDayFelt

Unlocked via 34,000 backers for the Requiem Kickstarter."
